"Pagaio","Pagaio"
"Enabled","Activé"
"API Key","Clé d'API"
"Error during retrieving the token information (Error code %d)","Erreur durant la récupération des informations du jeton (Code erreur %d)"
"Error during retrieving the webhooks information (Error code %d)","Erreur durant la récupération des informations des webhooks (Code erreur %d)"
"Error during retrieving contracts (Error code %d)","Erreur durant la récupération des contrats (Code erreur %d)"
"Error while deleting webhook for store id %s","Erreur durant la suppression du webhook du store id %s"
"Error while creating webhook for store id %s","Erreur durant la création du webhook du store id %s"
"Error while deleting duplicated webhook for store id %s","Erreur durant la suppression du webhook doublon du store id %s"
"live","live"
"test","test"
"Your information","Vos informations"
"Mode: %s","Mode : %s"
"ID: %s","ID : %s"
"Subdomain: %s","Sous-domaine : %s"
"Company: %s","Société : %s"
"Creation Date: %s","Date de création : %s"
"General","Général"
"Webhooks","Webhooks"
"Webhook ID","Webhook ID"
"Generate Webhooks","Générer les webhooks"
"You can activate webhooks by generating its","Vous pouvez activer les webhooks en les générant"
"Webhooks generated successfully","Webhooks générés avec succès"
"Your webhooks are enabled","Vos webhooks sont activés"
"Delete Webhooks","Supprimer les webhooks"
"A webhook has been deleted for store id %s","Un webhook a été supprimé pour le store id %s"
"A webhook has been created for store id %s","Un webhook a été créé pour le store id %s"
"Webhook for Store ID: %s","Webhook pour le Store ID : %s"
"A duplicated webhook has been deleted for store id %s", "Un doublon de webhook a été supprimé pour le store id %s"
"Are you sure ?","Êtes-vous sûr(e) ?"
"Contract","Contrat"
"No contract","Pas de contrat"
"Contract information","Informations du contrat"
"Error during retrieving contract:","Erreur durant la récupération du contrat :"
"ID:","ID :"
"Title:","Titre :"
"Description:","Description :"
"Currency:","Devise :"
"Created at:","Créé le :"
"Contract clauses","Clauses du contrat"
"Contract has no clause","Le contrat n'a pas de clause"
"Type:","Type :"
"Name:","Nom :"
"Enabled:","Actif :"
"Attributes:","Attributs :"
"Success URL:","URL de succès :"
"Cancel URL:","URL d'annulation :"
"payments_stripe","Paiement par carte bancaire"
"payments_GoCardLess","Prélèvement SEPA"
"No Payment Methods","Aucun mode de paiement"
"payment_key_payment_id","ID du paiement"
"payment_key_contract_id","ID du contrat"
"payment_key_customer_id","ID du client"
"payment_key_payment_name","Type de paiement"
"payment_key_parent_order_increment_id","Commande parente"
"payment_key_parent_order_id","ID Commande parente"
"payment_key_subscription_id","ID de l'abonnement"
"Order does not exist anymore","La commande n'existe plus"
"Debug mode (more logs)","Mode debug (logs supplémentaires)"
"It seems that the API key you provided is not correct.","Il semblerait que la clé d'API que vous avez fourni ne soit pas valide."
"Please set an API key and/or save the configuration.","Merci de renseigner une clé d'API et/ou de sauvegarder la configuration."
"Activate the debug mode if you want more details in the logs.","Activez le mode debug si vous souhaitez plus de détails dans les logs."
"Debug mode","Mode debug"
"Please generate and associate webhooks to the platform.","Merci de générer et d'associer les webhooks à la plateforme."
"It seems that an error occurred during the registration of the webhooks.","Il apparait qu'une erreur est survenue lors de la création des webhooks."
"Main configuration","Configuration principale"
"Remove","Supprimer"
"Webhook not found.","Webhook introuvable."
"Webhook deleted successfully.","Webhook supprimé avec succès."
"An error occurred.","Une erreur est survenue."
"Subscription created","Abonnement créé"
"Subscription closed","Abonnement fermé"
"Payment added to a subscription","Paiement ajouté à l'abonnement"
"Payment scheduled","Paiement planifié"
"Payment processing","Paiement en cours de traitement"
"Payment waiting","Paiement en attente"
"Payment success","Paiement réussi"
"Payment failure","Paiement en échec"
"Contract created","Contrat créé"
"Customer created","Client créé"
"Amendment created","Avenant au contrat créé"
